filename,threshold,IOU,AP
Bombus_terrestris_70134534_1,0.1,73.35,73.55
Bombus_cryptarum_76250784_1,0.1,40.46,39.39
Andrena_haemorrhoa_24216792_1,0.1,77.24,77.21
Andrena_vaga_60931621_1,0.1,59.53,62.4
Sphecodes_albilabris_2910604_5,0.1,64.45,64.32
Bombus_hypnorum_26188914_1,0.1,78.23,78.1
Bombus_terrestris_55479040_4,0.1,54.8,52.84
Bombus_lucorum_26440505_1,0.1,39.97,39.96
Anthidium_manicatum_1104741_1,0.1,32.21,32.19
Osmia_bicornis_26068224_1,0.1,77.42,77.63
Bombus_hortorum_18018378_1,0.1,50.98,50.33
Andrena_bicolor_70513296_1,0.1,65.77,65.75
Bombus_terrestris_65128639_1,0.1,1.2,7.38
Sphecodes_albilabris_90861814_1,0.1,41.78,41.49
Sphecodes_albilabris_91198181_1,0.1,60.52,60.19
Andrena_flavipes_41679666_1,0.1,15.33,15.33
Bombus_magnus_39079115_1,0.1,78.13,83.49
Bombus_lucorum_28113036_1,0.1,76.98,77.72
Andrena_flavipes_6162634_1,0.1,70.59,70.24
Halictus_scabiosae_25515682_1,0.1,49.26,49.26
Andrena_vaga_37306991_3,0.1,80.25,80.14
Andrena_flavipes_45372205_1,0.1,65.86,65.71
Andrena_flavipes_27154685_1,0.1,68.98,68.1
Osmia_cornuta_1361305_1,0.1,79.8,80.53
Andrena_haemorrhoa_9643707_1,0.1,61.19,61.03
Bombus_pratorum_21782729_3,0.1,60.12,60.03
Bombus_lucorum_14054307_1,0.1,76.39,76.69
Andrena_haemorrhoa_2991977_1,0.1,38.69,38.76
Bombus_pascuorum_70948738_1,0.1,0.0,15.16
Bombus_lucorum_27773349_1,0.1,78.13,78.23
Bombus_hortorum_19170168_1,0.1,60.03,64.68
Andrena_haemorrhoa_9643146_1,0.1,78.03,78.35
Andrena_vaga_35333363_3,0.1,84.42,86.27
Andrena_fulva_21005375_1,0.1,68.67,67.53
Sphecodes_albilabris_63338779_1,0.1,65.18,64.43
Osmia_cornuta_19906005_1,0.1,32.52,42.76
Bombus_hortorum_46358885_2,0.1,76.15,76.5
Dasypoda_hirtipes_52138066_1,0.1,51.08,50.66
Anthophora_plumipes_10726165_1,0.1,58.36,58.01
Halictus_scabiosae_29429207_1,0.1,50.94,50.76
Andrena_haemorrhoa_12510924_1,0.1,28.67,28.65
Osmia_bicornis_21870398_1,0.1,69.61,69.51
Anthidium_manicatum_11549080_1,0.1,68.18,67.64
Bombus_terrestris_80764295_1,0.1,43.65,43.6
Andrena_flavipes_40832925_4,0.1,47.46,47.27
Andrena_bicolor_71937223_1,0.1,35.77,35.62
Bombus_lapidarius_25721016_1,0.1,53.62,51.91
Xylocopa_violacea_50532223_1,0.1,63.93,63.73
Osmia_bicornis_25868817_1,0.1,65.7,65.38
Andrena_bicolor_72038338_1,0.1,59.28,58.83
Andrena_fulva_41693281_1,0.1,62.07,61.79
Sphecodes_albilabris_67712830_1,0.1,72.65,77.49
Xylocopa_violacea_46154360_1,0.1,57.49,56.56
Andrena_haemorrhoa_12277590_1,0.1,82.7,83.88
Bombus_pascuorum_68871103_4,0.1,61.86,61.23
Andrena_bicolor_71705678_2,0.1,71.33,71.15
Osmia_cornuta_21049270_1,0.1,25.75,25.73
Bombus_hortorum_13893322_2,0.1,52.43,52.02
Bombus_cryptarum_79887126_2,0.1,67.21,66.7
Osmia_cornuta_40086158_1,0.1,55.46,53.92
Bombus_pascuorum_70829784_4,0.1,0.0,35.6
Bombus_pratorum_41559252_4,0.1,82.54,82.61
Anthidium_manicatum_6970356_3,0.1,55.72,55.52
Bombus_sylvarum_81211106_2,0.1,71.37,71.2
Anthophora_plumipes_3022507_2,0.1,12.44,24.77
Anthophora_plumipes_22412797_2,0.1,65.25,63.05
Osmia_bicornis_22653557_1,0.1,69.88,69.16
Osmia_bicolor_26049504_1,0.1,58.25,57.49
Andrena_bicolor_70836009_1,0.1,73.24,73.46
Bombus_lucorum_24301194_2,0.1,47.94,47.16
Halictus_scabiosae_28435023_1,0.1,66.84,66.3
Osmia_cornuta_21025210_2,0.1,83.27,87.95
Anthophora_plumipes_5388756_2,0.1,79.47,81.07
Dasypoda_hirtipes_28868578_1,0.1,28.3,28.23
Andrena_vaga_37306991_6,0.1,65.16,64.78
Anthidium_manicatum_15027502_1,0.1,65.98,65.8
Bombus_pascuorum_70941526_2,0.1,13.03,41.64
Bombus_sylvarum_82593993_3,0.1,64.27,63.97
Halictus_scabiosae_30353670_1,0.1,48.06,47.57
Andrena_flavipes_5795371_3,0.1,79.09,79.93
Bombus_pratorum_41451607_1,0.1,8.86,8.86
Andrena_fulva_21101578_1,0.1,73.59,73.17
Bombus_sylvarum_82818807_4,0.1,54.15,57.75
Andrena_cineraria_40871954_2,0.1,79.6,81.58
Andrena_haemorrhoa_608715_5,0.1,66.02,65.59
Bombus_pascuorum_70679427_1,0.1,80.13,80.27
Anthophora_plumipes_21775963_1,0.1,63.7,63.49
Anthidium_manicatum_1945473_1,0.1,73.48,73.55
Bombus_pascuorum_72171062_1,0.1,73.72,73.07
Anthidium_manicatum_1304981_2,0.1,77.76,77.99
Bombus_hypnorum_26238749_1,0.1,80.6,81.39
Bombus_lapidarius_12834390_1,0.1,86.36,86.6
Osmia_bicornis_26008683_2,0.1,67.01,65.93
Andrena_fulva_16591072_1,0.1,6.75,16.46
Bombus_terrestris_89339556_1,0.1,76.2,76.55
Andrena_cineraria_22035971_5,0.1,78.6,79.11
Anthidium_manicatum_12884662_2,0.1,77.54,77.65
Andrena_cineraria_19902477_1,0.1,69.62,69.64
Halictus_scabiosae_27562307_1,0.1,11.93,11.93
Osmia_cornuta_1281136_1,0.1,25.49,25.06
Halictus_scabiosae_30643619_1,0.1,66.12,65.92
Bombus_cryptarum_76326107_1,0.1,53.23,52.63
Sphecodes_albilabris_90548728_1,0.1,69.14,67.85
Andrena_haemorrhoa_23621511_1,0.1,67.77,67.43
Bombus_hypnorum_13810150_1,0.1,33.95,32.36
Andrena_cineraria_39926319_1,0.1,64.77,63.85
Anthophora_plumipes_20508136_2,0.1,58.27,57.51
Osmia_bicornis_26790225_2,0.1,55.76,55.37
Bombus_cryptarum_47213984_1,0.1,72.13,71.64
Bombus_hortorum_45581548_2,0.1,60.13,59.85
Andrena_fulva_24599687_1,0.1,80.98,81.24
Andrena_fulva_24372320_1,0.1,61.95,60.01
Bombus_pratorum_26922091_1,0.1,67.9,66.8
Halictus_scabiosae_25696041_1,0.1,75.07,74.96
Xylocopa_violacea_52779990_1,0.1,54.89,54.81
Anthophora_plumipes_11795456_2,0.1,77.15,76.49
Bombus_lapidarius_21671909_1,0.1,54.25,62.98
Bombus_lapidarius_11314802_1,0.1,58.03,56.92
Andrena_haemorrhoa_22698467_1,0.1,76.7,76.93
Dasypoda_hirtipes_14252544_2,0.1,81.52,81.98
Bombus_pascuorum_70875661_2,0.1,0.0,3.12
Bombus_pratorum_20418017_1,0.1,32.05,31.94
Andrena_vaga_22777403_4,0.1,76.32,78.06
Dasypoda_hirtipes_29721943_1,0.1,80.64,80.68
Anthophora_plumipes_54213_2,0.1,69.15,68.67
Dasypoda_hirtipes_49001728_1,0.1,31.46,31.25
Bombus_sylvarum_82007257_2,0.1,86.78,87.28
Bombus_lucorum_28496644_1,0.1,81.87,82.54
Dasypoda_hirtipes_58496989_7,0.1,69.95,70.0
Andrena_haemorrhoa_23477102_1,0.1,20.34,20.32
Xylocopa_violacea_46795520_1,0.1,77.75,77.52
Osmia_bicornis_22624419_3,0.1,71.42,71.34
Andrena_vaga_5818745_1,0.1,70.23,69.89
Bombus_pascuorum_68871899_1,0.1,0.0,16.66
Osmia_bicolor_69371662_1,0.1,52.23,51.98
Bombus_hypnorum_13289013_1,0.1,19.42,19.31
Bombus_hortorum_44762812_7,0.1,0.0,2.2
Anthophora_plumipes_11218942_1,0.1,37.36,37.15
Osmia_bicornis_22324226_1,0.1,19.38,22.51
Andrena_cineraria_25017166_1,0.1,71.33,71.31
Osmia_cornuta_37551380_1,0.1,59.47,58.7
Bombus_magnus_103805267_1,0.1,72.49,71.76
Bombus_lucorum_14174051_1,0.1,79.16,79.62
Andrena_flavipes_11582465_2,0.1,61.44,61.31
Andrena_bicolor_79129088_1,0.1,75.37,75.68
Osmia_bicornis_22508346_1,0.1,69.97,69.82
Bombus_lapidarius_25473026_2,0.1,75.01,75.19
Andrena_flavipes_49010486_1,0.1,68.42,70.64
Anthidium_manicatum_7135090_1,0.1,78.59,79.28
Osmia_bicornis_25898951_1,0.1,54.97,54.7
Bombus_terrestris_73955526_3,0.1,84.59,85.37
Osmia_cornuta_16925489_1,0.1,70.48,75.81
Andrena_cineraria_22511030_1,0.1,80.66,82.23
Andrena_vaga_43421212_1,0.1,67.73,67.8
Osmia_cornuta_21257717_1,0.1,66.27,74.29
Bombus_hortorum_46868324_2,0.1,77.87,77.75
Osmia_bicornis_26740351_1,0.1,65.97,65.88
Bombus_pratorum_26982465_2,0.1,64.73,65.03
Andrena_vaga_2973508_1,0.1,77.67,78.16
Anthidium_manicatum_7119328_1,0.1,80.8,81.37
Halictus_scabiosae_28351682_1,0.1,54.23,54.22
Anthophora_plumipes_3073748_3,0.1,32.62,30.19
Bombus_lucorum_19119185_1,0.1,74.72,74.72
Bombus_pascuorum_68451976_1,0.1,72.91,73.77
Andrena_vaga_42477858_1,0.1,58.65,58.16
Osmia_bicolor_67457174_1,0.1,75.42,75.49
Osmia_bicolor_10142201_2,0.1,64.66,64.28
Anthophora_plumipes_21962130_2,0.1,71.38,72.07
Andrena_flavipes_41988017_3,0.1,13.76,13.75
Anthidium_manicatum_13181104_3,0.1,77.34,77.32
Andrena_vaga_18727660_2,0.1,38.75,38.58
Osmia_bicolor_42379160_1,0.1,0.0,13.63
Bombus_pascuorum_68871579_1,0.1,84.26,84.3
Dasypoda_hirtipes_28510639_1,0.1,59.75,59.25
Bombus_hypnorum_14006535_3,0.1,74.82,74.56
Bombus_hypnorum_24935578_1,0.1,62.32,61.77
Xylocopa_violacea_45952352_1,0.1,65.98,65.79
Bombus_cryptarum_45028082_1,0.1,66.77,66.38
Bombus_cryptarum_79105964_1,0.1,69.46,68.43
Bombus_lucorum_28170617_1,0.1,79.52,79.92
Andrena_haemorrhoa_5464071_2,0.1,64.98,64.95
Halictus_scabiosae_32545144_3,0.1,73.19,73.32
Bombus_terrestris_100994993_8,0.1,68.56,67.2
Bombus_cryptarum_49676994_1,0.1,48.06,48.06
Osmia_bicolor_75069621_1,0.1,18.4,18.4
Sphecodes_albilabris_65329867_1,0.1,69.75,69.73
Sphecodes_albilabris_69472382_1,0.1,66.61,66.41
Osmia_cornuta_2628045_1,0.1,78.57,79.29
Halictus_scabiosae_29962716_1,0.1,35.94,35.94
Bombus_sylvarum_80478346_1,0.1,50.46,50.1
Bombus_pascuorum_72382147_1,0.1,43.46,41.45
Bombus_lapidarius_25510863_1,0.1,73.71,73.46
Bombus_hortorum_46057012_1,0.1,83.1,84.85
Bombus_lapidarius_20753117_1,0.1,63.57,62.45
Xylocopa_violacea_46283020_1,0.1,55.89,55.84
Bombus_cryptarum_80254286_1,0.1,61.45,61.3
Andrena_vaga_5374664_2,0.1,59.71,59.18
Bombus_pratorum_41608694_1,0.1,70.21,69.31
Bombus_terrestris_92434009_1,0.1,64.93,64.79
Andrena_vaga_21089241_1,0.1,57.22,57.19
Andrena_flavipes_41539403_2,0.1,76.57,80.2
Bombus_pratorum_21313988_1,0.1,79.77,81.24
Bombus_hortorum_21022147_1,0.1,65.65,64.74
Andrena_fulva_21384034_1,0.1,74.11,73.97
Andrena_haemorrhoa_61765_1,0.1,49.27,48.92
Bombus_cryptarum_48743165_1,0.1,73.38,73.53
Andrena_fulva_24688152_1,0.1,65.94,65.56
Dasypoda_hirtipes_56857444_1,0.1,24.14,24.03
Andrena_bicolor_97033019_2,0.1,58.39,56.53
Anthidium_manicatum_14902663_3,0.1,68.57,68.46
Anthidium_manicatum_13096001_3,0.1,68.58,67.71
Bombus_terrestris_57534468_2,0.1,86.79,87.55
Xylocopa_violacea_45406832_1,0.1,63.28,61.93
Bombus_hortorum_17527115_1,0.1,27.1,27.06
Bombus_pascuorum_68508958_1,0.1,0.0,15.28
Xylocopa_violacea_46816983_1,0.1,75.3,75.26
Andrena_fulva_24772230_1,0.1,78.33,78.71
Bombus_sylvarum_81675348_1,0.1,73.99,77.71
Dasypoda_hirtipes_13198508_1,0.1,53.35,53.28
Dasypoda_hirtipes_58175075_4,0.1,21.4,21.31
Bombus_terrestris_96626082_7,0.1,61.45,61.3
Andrena_fulva_16957084_1,0.1,44.86,44.45
Bombus_pascuorum_72288448_2,0.1,0.0,5.24
Dasypoda_hirtipes_28661860_2,0.1,78.11,80.62
Bombus_hypnorum_13333567_1,0.1,74.01,73.77
Andrena_flavipes_39887580_1,0.1,64.14,64.09
Andrena_cineraria_23012503_1,0.1,14.37,14.37
Andrena_bicolor_21421764_3,0.1,86.31,87.59
Osmia_cornuta_20751065_2,0.1,78.92,79.0
Bombus_sylvarum_58635653_1,0.1,73.3,73.68
Bombus_lucorum_26390060_3,0.1,71.81,71.7
Andrena_bicolor_84691158_2,0.1,70.98,70.83
Osmia_cornuta_33981412_1,0.1,69.68,69.17
Osmia_cornuta_40126348_1,0.1,75.35,75.07
Bombus_hypnorum_26240005_1,0.1,81.97,81.89
Bombus_pratorum_45317175_1,0.1,64.99,64.14
Andrena_cineraria_28880021_1,0.1,75.63,74.74
Bombus_cryptarum_77535576_2,0.1,12.39,12.39
Bombus_sylvarum_81920012_1,0.1,85.61,88.58
Andrena_vaga_42454175_1,0.1,52.84,52.06
Dasypoda_hirtipes_57995775_2,0.1,44.4,44.4
Bombus_hypnorum_24746085_2,0.1,53.09,56.73
Andrena_bicolor_44969462_1,0.1,83.89,86.77
Bombus_pascuorum_68871103_1,0.1,54.11,53.72
