img_id,threshold,eig_ind,IOU
1.0,0.36,0.0,63.584524393081665
1.0,0.36,1.0,5.131612345576286
1.0,0.36,2.0,18.02433431148529
1.0,0.36,3.0,11.638890951871872
1.0,0.36,4.0,9.157714992761612
2.0,0.36,0.0,80.14606237411499
2.0,0.36,1.0,1.8893394619226456
2.0,0.36,2.0,3.138945996761322
2.0,0.36,3.0,3.4133505076169968
2.0,0.36,4.0,3.2898463308811188
3.0,0.36,0.0,73.0751097202301
3.0,0.36,1.0,18.85034292936325
3.0,0.36,2.0,25.734031200408936
3.0,0.36,3.0,24.217702448368073
3.0,0.36,4.0,8.27067643404007
4.0,0.36,0.0,61.710721254348755
4.0,0.36,1.0,18.300527334213257
4.0,0.36,2.0,20.374150574207306
4.0,0.36,3.0,23.623815178871155
4.0,0.36,4.0,22.025971114635468
5.0,0.36,0.0,80.03767132759094
5.0,0.36,1.0,29.06477451324463
5.0,0.36,2.0,13.90010416507721
5.0,0.36,3.0,10.983538627624512
5.0,0.36,4.0,7.881227880716324
6.0,0.36,0.0,66.11034274101257
6.0,0.36,1.0,0.0
6.0,0.36,2.0,4.4633835554122925
6.0,0.36,3.0,33.17798674106598
6.0,0.36,4.0,5.894475430250168
7.0,0.36,0.0,55.47887682914734
7.0,0.36,1.0,9.218813478946686
7.0,0.36,2.0,5.179010704159737
7.0,0.36,3.0,4.0725380182266235
7.0,0.36,4.0,4.165557399392128
8.0,0.36,0.0,77.88639664649963
8.0,0.36,1.0,5.817517265677452
8.0,0.36,2.0,8.708660304546356
8.0,0.36,3.0,10.150892287492752
8.0,0.36,4.0,8.822254091501236
9.0,0.36,0.0,80.62179684638977
9.0,0.36,1.0,34.32725965976715
9.0,0.36,2.0,19.73644644021988
9.0,0.36,3.0,15.970060229301453
9.0,0.36,4.0,28.27850580215454
10.0,0.36,0.0,31.43656551837921
10.0,0.36,1.0,3.2737284898757935
10.0,0.36,2.0,9.404700249433517
10.0,0.36,3.0,10.147526860237122
10.0,0.36,4.0,8.692637830972672
11.0,0.36,0.0,61.76815629005432
11.0,0.36,1.0,35.169023275375366
11.0,0.36,2.0,23.961518704891205
11.0,0.36,3.0,29.228848218917847
11.0,0.36,4.0,10.526594519615173
12.0,0.36,0.0,76.73380374908447
12.0,0.36,1.0,6.836160272359848
12.0,0.36,2.0,0.2686727559193969
12.0,0.36,3.0,26.1525958776474
12.0,0.36,4.0,6.785901635885239
13.0,0.36,0.0,73.03522825241089
13.0,0.36,1.0,19.061020016670227
13.0,0.36,2.0,21.354159712791443
13.0,0.36,3.0,22.269558906555176
13.0,0.36,4.0,24.15352165699005
14.0,0.36,0.0,80.71497082710266
14.0,0.36,1.0,13.744489848613739
14.0,0.36,2.0,6.69650211930275
14.0,0.36,3.0,5.315406247973442
14.0,0.36,4.0,30.88252544403076
15.0,0.36,0.0,86.54653429985046
15.0,0.36,1.0,5.544799938797951
15.0,0.36,2.0,31.773048639297485
15.0,0.36,3.0,3.0133267864584923
15.0,0.36,4.0,6.042712554335594
16.0,0.36,0.0,69.62392330169678
16.0,0.36,1.0,39.28035795688629
16.0,0.36,2.0,5.529513210058212
16.0,0.36,3.0,20.013512670993805
16.0,0.36,4.0,20.230737328529358
17.0,0.36,0.0,82.72255063056946
17.0,0.36,1.0,17.189835011959076
17.0,0.36,2.0,12.61027604341507
17.0,0.36,3.0,18.149060010910034
17.0,0.36,4.0,13.302741944789886
18.0,0.36,0.0,63.97252082824707
18.0,0.36,1.0,4.363597556948662
18.0,0.36,2.0,8.719157427549362
18.0,0.36,3.0,8.419200032949448
18.0,0.36,4.0,15.572072565555573
19.0,0.36,0.0,81.48816227912903
19.0,0.36,1.0,3.403988480567932
19.0,0.36,2.0,6.329087913036346
19.0,0.36,3.0,11.190298944711685
19.0,0.36,4.0,6.309386342763901
20.0,0.36,0.0,76.70471668243408
20.0,0.36,1.0,8.546299487352371
20.0,0.36,2.0,4.958570376038551
20.0,0.36,3.0,11.07635498046875
20.0,0.36,4.0,12.15972900390625
21.0,0.36,0.0,72.9709267616272
21.0,0.36,1.0,7.130111753940582
21.0,0.36,2.0,9.535826742649078
21.0,0.36,3.0,7.536476105451584
21.0,0.36,4.0,10.45290008187294
22.0,0.36,0.0,75.92127323150635
22.0,0.36,1.0,5.574432760477066
22.0,0.36,2.0,2.597257122397423
22.0,0.36,3.0,2.8241077437996864
22.0,0.36,4.0,2.6490118354558945
23.0,0.36,0.0,77.8055489063263
23.0,0.36,1.0,34.39107537269592
23.0,0.36,2.0,6.78974986076355
23.0,0.36,3.0,18.36773157119751
23.0,0.36,4.0,6.8052902817726135
24.0,0.36,0.0,70.7520604133606
24.0,0.36,1.0,17.30237901210785
24.0,0.36,2.0,16.947808861732483
24.0,0.36,3.0,21.264903247356415
24.0,0.36,4.0,12.749943137168884
25.0,0.36,0.0,57.32364058494568
25.0,0.36,1.0,30.16531765460968
25.0,0.36,2.0,2.6696719229221344
25.0,0.36,3.0,16.83592200279236
25.0,0.36,4.0,18.882818520069122
26.0,0.36,0.0,74.09369349479675
26.0,0.36,1.0,7.743605971336365
26.0,0.36,2.0,16.383448243141174
26.0,0.36,3.0,17.977991700172424
26.0,0.36,4.0,18.01447719335556
27.0,0.36,0.0,79.13783192634583
27.0,0.36,1.0,26.082968711853027
27.0,0.36,2.0,12.391361594200134
27.0,0.36,3.0,13.025078177452087
27.0,0.36,4.0,12.618021667003632
28.0,0.36,0.0,87.3971939086914
28.0,0.36,1.0,18.719401955604553
28.0,0.36,2.0,20.80300599336624
28.0,0.36,3.0,15.824370086193085
28.0,0.36,4.0,15.878967940807343
29.0,0.36,0.0,81.79618120193481
29.0,0.36,1.0,11.593278497457504
29.0,0.36,2.0,6.248185783624649
29.0,0.36,3.0,14.150150120258331
29.0,0.36,4.0,8.952879905700684
30.0,0.36,0.0,83.24588537216187
30.0,0.36,1.0,6.0759227722883224
30.0,0.36,2.0,7.3456041514873505
30.0,0.36,3.0,7.582178711891174
30.0,0.36,4.0,6.317407637834549
31.0,0.36,0.0,76.18732452392578
31.0,0.36,1.0,22.970739006996155
31.0,0.36,2.0,3.8799047470092773
31.0,0.36,3.0,2.293727919459343
31.0,0.36,4.0,3.704095259308815
32.0,0.36,0.0,41.96683466434479
32.0,0.36,1.0,13.152837753295898
32.0,0.36,2.0,21.874119341373444
32.0,0.36,3.0,4.063427448272705
32.0,0.36,4.0,34.78076756000519
33.0,0.36,0.0,40.3012216091156
33.0,0.36,1.0,0.925607793033123
33.0,0.36,2.0,1.6757512465119362
33.0,0.36,3.0,2.572118490934372
33.0,0.36,4.0,2.3548003286123276
34.0,0.36,0.0,75.08586049079895
34.0,0.36,1.0,49.76179897785187
34.0,0.36,2.0,20.964446663856506
34.0,0.36,3.0,26.379865407943726
34.0,0.36,4.0,24.909573793411255
35.0,0.36,0.0,60.695624351501465
35.0,0.36,1.0,11.181965470314026
35.0,0.36,2.0,17.662081122398376
35.0,0.36,3.0,11.581648141145706
35.0,0.36,4.0,10.665000230073929
36.0,0.36,0.0,71.59125804901123
36.0,0.36,1.0,26.787889003753662
36.0,0.36,2.0,21.160566806793213
36.0,0.36,3.0,14.535684883594513
36.0,0.36,4.0,30.63666522502899
37.0,0.36,0.0,10.210095345973969
37.0,0.36,1.0,58.6825966835022
37.0,0.36,2.0,6.508143991231918
37.0,0.36,3.0,1.9556017592549324
37.0,0.36,4.0,3.9379585534334183
38.0,0.36,0.0,80.27019500732422
38.0,0.36,1.0,3.1609151512384415
38.0,0.36,2.0,3.7489619106054306
38.0,0.36,3.0,5.623169243335724
38.0,0.36,4.0,3.0693184584379196
39.0,0.36,0.0,82.11320638656616
39.0,0.36,1.0,19.087399542331696
39.0,0.36,2.0,6.395191699266434
39.0,0.36,3.0,8.879514038562775
39.0,0.36,4.0,15.819704532623291
40.0,0.36,0.0,66.10209345817566
40.0,0.36,1.0,32.49995708465576
40.0,0.36,2.0,9.430593252182007
40.0,0.36,3.0,6.89709410071373
40.0,0.36,4.0,6.8961672484874725
41.0,0.36,0.0,70.72083353996277
41.0,0.36,1.0,15.64120352268219
41.0,0.36,2.0,17.66832172870636
41.0,0.36,3.0,13.508754968643188
41.0,0.36,4.0,18.38969886302948
42.0,0.36,0.0,72.02969789505005
42.0,0.36,1.0,17.40676760673523
